name|position|times_top_10|times_top_20|times_top_30|points_scored|draft_auction_value
Julian Edelman|WR|2|5|9|123.4|31
Chris Godwin|WR|4|4|6|142.40000000000003|8
Robert Woods|WR|1|1|3|79.2|26
Kenny Golladay|WR|4|5|5|121.49999999999999|11
Julio Jones|WR|3|5|6|120.3|48
Adam Thielen|WR|2|3|3|94.7|28
Dede Westbrook|WR|0|1|2|62.3|1
A.J. Brown|WR|1|1|2|73.7|0
Kenny Stills|WR|0|1|1|53.7|0
Willie Snead IV|WR|0|1|1|44.5|0
Tyler Lockett|WR|2|5|7|141.4|19
DK Metcalf|WR|1|2|5|98.1|0
JuJu Smith-Schuster|WR|1|3|3|78.4|49
Odell Beckham Jr.|WR|1|2|3|82.00000000000001|42
Tyler Boyd|WR|1|2|3|83.69999999999999|5
Preston Williams|WR|1|1|1|74.80000000000001|0
Jarvis Landry|WR|1|2|3|80.5|0
DJ Moore|WR|0|2|5|85.39999999999999|4
DeVante Parker|WR|0|3|4|78.00000000000001|0
Christian Kirk|WR|0|2|2|56.4|0
Mohamed Sanu|WR|1|3|3|76.5|0
Cooper Kupp|WR|4|5|5|138.6|12
Marvin Jones Jr.|WR|3|3|4|110.9|1
Will Fuller V|WR|1|1|1|80.0|0
Sterling Shepard|WR|1|2|2|51.400000000000006|0
Marquez Valdes-Scantling|WR|1|2|2|65.9|0
Miles Boykin|WR|0|0|1|29.599999999999998|0
Cole Beasley|WR|0|0|2|71.2|0
Paul Richardson Jr.|WR|0|1|1|49.4|0
Davante Adams|WR|1|2|2|57.9|46
Brandin Cooks|WR|0|2|3|64.80000000000001|23
Stefon Diggs|WR|2|4|4|111.0|23
Curtis Samuel|WR|1|2|3|84.3|1
Diontae Johnson|WR|0|2|3|59.7|0
Mike Williams|WR|1|1|4|74.2|0
Mike Evans|WR|5|5|5|153.2|44
Robby Anderson|WR|1|1|1|51.699999999999996|0
Taylor Gabriel|WR|1|1|1|52.4|0
Trevor Davis|WR|0|1|1|26.4|0
Deebo Samuel|WR|1|1|2|49.4|0
Tyreek Hill|WR|2|3|4|75.1|42
Alex Erickson|WR|1|1|3|46.3|0
